Quarter,Minute,Second,Down,ToGo,YardLine,Outcome
1,2,30,2,10,90,1
1,2,36,1,10,90,1
1,3,14,2,2,86,0
1,3,56,1,10,78,0
1,4,36,1,10,67,1
1,5,20,3,3,62,0
1,6,1,2,10,55,1
1,6,36,1,15,50,1
1,6,53,1,10,55,0
1,7,41,0,0,85,0
1,9,28,0,0,85,0
1,9,30,4,1,99,0
1,9,50,3,3,97,1
1,10,37,2,5,95,1
1,11,23,1,8,92,0
1,11,49,3,1,87,0
1,12,22,2,8,80,0
1,12,52,1,10,78,0
1,13,20,2,7,67,1
1,13,47,1,10,64,0
4,8,1,0,0,98,0
4,8,5,1,3,97,1
4,8,13,4,6,94,0
4,8,58,3,2,98,0
2,11,9,2,6,78,1
2,11,48,1,10,74,1
2,12,11,2,11,54,1
2,12,54,1,10,55,0
1,0,37,1,10,56,0
1,6,33,4,9,58,0
1,7,8,3,15,52,1
1,7,12,2,15,52,1
1,8,19,1,10,57,0
1,10,57,0,0,85,0
4,0,23,2,12,82,0
4,0,47,1,10,84,0
4,1,35,3,1,82,0
4,1,41,2,3,80,0
4,1,47,1,10,73,0
4,6,39,0,0,85,0
4,6,47,1,10,73,0
4,7,30,3,4,57,1
4,8,18,2,10,51,1
4,8,55,1,10,51,0
3,3,36,2,10,71,1
3,4,15,1,10,71,0
3,4,20,1,10,66,2
3,4,59,3,6,59,1
3,5,2,2,6,59,1
3,5,33,1,10,55,1
3,7,36,0,0,85,0
3,7,42,2,8,88,1
3,8,20,1,10,86,0
3,8,54,3,3,78,0
3,9,38,2,11,70,1
3,10,18,1,10,71,0
3,11,1,2,10,58,0
3,11,37,1,10,58,0
3,12,17,3,5,51,1
2,0,9,0,0,85,0
2,0,15,1,10,86,1
2,0,19,2,10,75,1
2,0,22,1,10,75,1
2,0,27,1,10,63,1
1,5,53,3,10,55,1
1,6,35,2,11,54,0
1,7,19,1,10,55,0
1,10,27,0,0,85,0
1,10,32,3,9,77,2
1,10,38,2,9,77,1
1,11,12,1,10,76,1
1,11,23,4,1,69,0
1,11,45,3,6,64,0
1,12,21,2,13,57,0
1,12,59,1,10,60,0
5,1,8,2,12,84,0
5,1,51,1,10,86,0
5,2,0,1,10,58,1
4,9,33,2,1,99,0
4,9,36,1,1,99,1
4,9,57,2,7,76,2
4,10,33,1,10,73,0
4,11,36,4,13,87,0
4,11,39,3,13,87,1
4,12,4,3,3,97,1
4,12,46,2,2,98,0
4,13,29,1,2,98,0
4,13,53,1,10,88,1
4,14,35,1,5,79,1
4,15,0,1,10,74,0
3,0,32,2,1,59,0
3,1,13,1,10,50,1
3,3,29,4,10,71,0
3,3,32,3,10,71,1
2,11,53,0,0,85,0
2,11,58,1,1,99,1
2,12,2,3,6,87,1
2,12,45,2,3,90,0
2,13,27,1,10,83,1
2,13,44,4,1,77,0
2,14,23,3,9,69,1
2,15,0,2,14,64,0
1,0,33,1,10,68,1
1,0,48,4,2,63,2
2,15,0,2,6,94,1
1,0,15,1,8,92,0
1,0,59,2,12,77,1
1,1,41,1,10,79,0
1,2,15,2,7,66,1
1,2,54,1,10,63,0
1,6,46,0,0,85,0
1,7,37,0,0,85,0
1,7,44,3,3,90,1
1,8,26,2,8,85,0
1,9,1,1,10,83,0
1,12,21,0,0,85,0
1,12,27,2,9,77,2
1,13,8,1,10,76,0
1,13,41,1,10,65,1
4,1,52,4,10,59,2
4,1,57,3,10,59,2
4,2,1,2,10,59,1
4,2,4,1,10,59,1
4,2,10,0,0,85,0
4,2,16,2,2,98,1
4,2,59,1,1,99,0
4,3,14,2,9,86,1
4,3,18,1,10,85,0
4,4,40,1,10,51,0
4,5,51,0,0,85,0
4,0,44,4,7,56,2
4,0,51,3,7,56,2
4,0,58,2,10,53,1
4,1,4,1,10,53,1
4,3,15,4,2,76,0
4,3,56,3,13,65,0
4,4,38,2,13,65,0
4,5,19,1,10,68,0
4,6,0,3,5,61,0
4,6,41,2,7,59,0
4,7,16,1,10,56,1
4,8,45,4,24,54,0
4,9,28,3,16,62,0
4,10,13,2,7,71,0
4,10,52,1,10,68,0
4,11,28,2,7,53,1
4,12,10,1,10,50,0
3,0,43,4,7,60,0
3,0,48,3,7,60,1
3,0,53,2,7,60,2
